Id	LotArea	paved_street	Alley	regular_lot_shape	level_land_contour	gentle_land_slope	one_family_building	YearBuilt	YearRemodAdd	BsmtFinSF1	BsmtFinSF2	BsmtUnfSF	TotalBsmtSF	central_air	1stFlrSF	2ndFlrSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	TotRmsAbvGrd	Fireplaces	GarageCars	GarageArea	paved_driveway	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	MiscVal	YrSold	SalePrice
38	8532	1	0	1	1	1	1	1954	1990	1213	0	84	1297	1	1297	0	0	1297	0	1	1	0	3	1	5	1	2	498	1	0	0	0	0	0	0	0	2009	153000
39	7922	1	0	1	1	1	1	1953	2007	731	0	326	1057	1	1057	0	0	1057	1	0	1	0	3	1	5	0	1	246	1	0	52	0	0	0	0	0	2010	109000
40	6040	1	0	1	1	1	0	1955	1955	0	0	0	0	0	1152	0	0	1152	0	0	2	0	2	2	6	0	0	0	0	0	0	0	0	0	0	0	2008	82000
41	8658	1	0	1	1	1	1	1965	1965	643	0	445	1088	1	1324	0	0	1324	0	0	2	0	3	1	6	1	2	440	1	0	138	0	0	0	0	0	2006	160000
42	16905	1	0	1	1	1	1	1959	1959	967	0	383	1350	1	1328	0	0	1328	0	1	1	1	2	1	5	2	1	308	0	0	104	0	0	0	0	0	2007	170000
43	9180	1	0	0	1	1	1	1983	1983	747	93	0	840	1	884	0	0	884	1	0	1	0	2	1	5	0	2	504	1	240	0	0	0	0	0	0	2007	144000
44	9200	1	0	0	1	1	1	1975	1980	280	491	167	938	1	938	0	0	938	1	0	1	0	3	1	5	0	1	308	1	145	0	0	0	0	0	0	2008	130250
45	7945	1	0	1	1	1	1	1959	1959	179	506	465	1150	1	1150	0	0	1150	1	0	1	0	3	1	6	0	1	300	1	0	0	0	0	0	0	0	2006	141000
46	7658	1	0	1	1	1	0	2005	2005	456	0	1296	1752	1	1752	0	0	1752	1	0	2	0	2	1	6	1	2	576	1	196	82	0	0	0	0	0	2010	319900
47	12822	1	0	0	1	1	1	2003	2003	1351	0	83	1434	1	1518	631	0	2149	1	0	1	1	1	1	6	1	2	670	1	168	43	0	0	198	0	0	2009	239686
48	11096	1	0	1	1	1	1	2006	2006	24	0	1632	1656	1	1656	0	0	1656	0	0	2	0	3	1	7	0	3	826	1	0	146	0	0	0	0	0	2007	249700
49	4456	1	0	1	1	1	0	1920	2008	0	0	736	736	1	736	716	0	1452	0	0	2	0	2	3	8	0	0	0	0	0	0	102	0	0	0	0	2009	113000
50	7742	1	0	1	1	1	1	1966	1966	763	0	192	955	1	955	0	0	955	1	0	1	0	3	1	6	0	1	386	1	0	0	0	0	0	0	0	2007	127000
51	13869	1	0	0	1	1	1	1997	1997	182	0	612	794	1	794	676	0	1470	0	1	2	0	3	1	6	0	2	388	1	0	75	0	0	0	0	0	2007	177000
52	6240	1	0	1	1	1	1	1934	1950	0	0	816	816	1	816	0	360	1176	0	0	1	0	3	1	6	1	2	528	1	112	0	0	0	0	0	400	2006	114500
53	8472	0	0	0	0	0	0	1963	1963	104	712	0	816	0	816	0	0	816	1	0	1	0	2	1	5	0	2	516	1	106	0	0	0	0	0	0	2010	110000
54	50271	1	0	0	0	1	1	1981	1987	1810	0	32	1842	1	1842	0	0	1842	2	0	0	1	0	1	5	1	3	894	1	857	72	0	0	0	0	0	2006	385000
55	7134	1	0	1	0	0	1	1955	1955	384	0	0	384	1	1360	0	0	1360	0	0	1	0	3	1	6	1	2	572	1	0	50	0	0	0	0	0	2007	130000
56	10175	1	0	0	1	1	1	1964	1964	490	0	935	1425	1	1425	0	0	1425	0	0	2	0	3	1	7	1	2	576	1	0	0	0	407	0	0	0	2008	180500
57	2645	1	1	1	1	1	0	1999	2000	649	0	321	970	1	983	756	0	1739	1	0	2	1	3	1	7	0	2	480	1	115	0	0	0	0	0	0	2009	172500
58	11645	1	0	0	1	1	1	2004	2004	0	0	860	860	1	860	860	0	1720	0	0	2	1	3	1	7	0	2	565	1	0	70	0	0	0	0	0	2006	196500
59	13682	1	0	0	0	1	1	2006	2006	0	0	1410	1410	1	1426	1519	0	2945	0	0	3	1	3	1	10	1	3	641	1	192	0	37	0	0	0	0	2006	438780
60	7200	1	0	1	0	1	1	1972	1972	632	0	148	780	1	780	0	0	780	0	0	1	0	2	1	4	0	1	352	1	196	0	0	0	0	0	0	2008	124900
61	13072	1	0	1	1	1	1	2004	2004	941	0	217	1158	1	1158	0	0	1158	1	0	1	1	3	1	5	0	2	576	1	0	50	0	0	0	0	0	2006	158000
62	7200	1	0	1	1	1	1	1920	1996	0	0	530	530	0	581	530	0	1111	0	0	1	0	3	1	6	0	1	288	0	0	0	144	0	0	0	0	2007	101000
63	6442	1	0	0	1	1	0	2006	2006	24	0	1346	1370	1	1370	0	0	1370	0	0	2	0	2	1	6	1	2	484	1	120	49	0	0	0	0	0	2007	202500
64	10300	1	0	0	0	1	1	1921	1950	0	0	576	576	1	902	808	0	1710	0	0	2	0	3	1	9	0	2	480	1	12	11	64	0	0	0	0	2010	140000
65	9375	1	0	1	1	1	1	1997	1998	739	0	318	1057	1	1057	977	0	2034	1	0	2	1	3	1	8	0	2	645	1	576	36	0	0	0	0	0	2009	219500
66	9591	1	0	1	1	1	1	2004	2005	0	0	1143	1143	1	1143	1330	0	2473	0	0	2	1	4	1	9	1	3	852	1	192	151	0	0	0	0	0	2007	317000
67	19900	1	0	1	1	1	1	1970	1989	912	0	1035	1947	1	2207	0	0	2207	1	0	2	0	3	1	7	1	2	576	1	301	0	0	0	0	0	0	2010	180000
68	10665	1	0	0	1	1	1	2003	2003	1013	0	440	1453	1	1479	0	0	1479	1	0	2	0	3	1	7	0	2	558	1	144	29	0	0	0	0	0	2007	226000
69	4608	1	0	1	1	1	1	1945	1950	0	0	747	747	1	747	0	0	747	0	0	1	0	2	1	4	0	1	220	1	0	0	0	0	0	0	0	2010	80000
70	15593	1	0	1	1	1	1	1953	1953	603	0	701	1304	1	1304	983	0	2287	0	0	2	0	3	1	7	1	2	667	1	0	21	114	0	0	0	0	2006	225000
71	13651	1	0	0	1	1	1	1973	1973	1880	0	343	2223	1	2223	0	0	2223	1	0	2	0	3	1	8	2	2	516	1	300	0	0	0	0	0	0	2007	244000
72	7599	1	0	1	1	1	1	1982	2006	565	0	280	845	1	845	0	0	845	1	0	1	0	2	1	4	0	2	360	1	0	0	0	0	0	0	0	2007	129500
73	10141	1	0	0	1	1	1	1998	1998	0	0	832	832	1	885	833	0	1718	0	0	2	1	3	1	7	1	2	427	1	0	94	0	0	291	0	0	2009	185000
74	10200	1	0	1	1	1	1	1954	2003	320	362	404	1086	1	1086	0	0	1086	1	0	1	0	3	1	6	0	2	490	1	0	0	0	0	0	0	0	2010	144900
75	5790	1	0	1	1	1	1	1915	1950	0	0	840	840	0	840	765	0	1605	0	0	2	0	3	2	8	0	1	379	1	0	0	202	0	0	0	0	2010	107400
76	1596	1	0	1	1	1	0	1973	1973	462	0	0	462	1	526	462	0	988	1	0	1	0	2	1	5	0	1	297	1	120	101	0	0	0	0	0	2009	91000
77	8475	1	0	0	1	1	1	1956	1956	228	0	724	952	1	952	0	0	952	0	0	1	0	2	1	4	0	1	283	1	0	0	0	0	0	0	0	2008	135750
78	8635	1	0	1	1	1	1	1948	2001	336	41	295	672	1	1072	213	0	1285	1	0	1	0	2	1	6	0	1	240	1	0	0	0	0	0	0	0	2008	127000
79	10778	1	0	1	1	1	0	1968	1968	0	0	1768	1768	0	1768	0	0	1768	0	0	2	0	4	2	8	0	0	0	1	0	0	0	0	0	0	0	2010	136500
80	10440	1	1	1	1	1	1	1910	1981	0	0	440	440	1	682	548	0	1230	0	0	1	1	2	1	5	0	2	440	1	74	0	128	0	0	0	0	2009	110000
81	13000	1	0	1	1	1	1	1968	1968	448	0	448	896	1	1182	960	0	2142	0	0	2	1	4	1	8	1	1	509	1	0	72	0	0	252	0	0	2009	193500
82	4500	1	0	1	1	1	0	1998	1998	1201	0	36	1237	1	1337	0	0	1337	1	0	2	0	2	1	5	0	2	405	1	0	199	0	0	0	0	0	2006	153500
83	10206	1	0	1	1	1	1	2007	2007	33	0	1530	1563	1	1563	0	0	1563	0	0	2	0	3	1	6	1	3	758	1	144	99	0	0	0	0	0	2008	245000
84	8892	1	0	0	1	1	1	1960	1960	0	0	1065	1065	1	1065	0	0	1065	0	0	1	1	3	1	6	0	2	461	1	74	0	0	0	0	0	0	2007	126500
85	8530	1	0	0	1	1	1	1995	1996	0	0	384	384	1	804	670	0	1474	0	0	2	1	3	1	7	1	2	400	1	120	72	0	0	0	0	700	2009	168500
86	16059	1	0	1	1	1	1	1991	1992	0	0	1288	1288	1	1301	1116	0	2417	0	0	2	1	4	1	9	1	2	462	1	127	82	0	0	0	0	0	2006	260000
87	11911	1	0	0	1	1	1	2005	2005	0	0	684	684	1	684	876	0	1560	0	0	2	1	3	1	6	1	2	400	1	100	38	0	0	0	0	0	2009	174000
88	3951	1	1	1	1	1	0	2009	2009	0	0	612	612	1	612	612	0	1224	0	0	2	1	2	1	4	0	2	528	1	0	234	0	0	0	0	0	2009	164500
89	8470	1	0	0	1	1	1	1915	1982	0	0	1013	1013	0	1013	0	513	1526	0	0	1	0	2	1	6	0	0	0	0	0	0	156	0	0	0	0	2009	85000
90	8070	1	0	1	1	1	1	1994	1995	588	0	402	990	1	990	0	0	990	1	0	1	0	3	1	5	0	0	0	1	0	0	0	0	0	0	0	2007	123600
91	7200	1	0	1	1	1	1	1950	1950	0	0	0	0	1	1040	0	0	1040	0	0	1	0	2	1	4	0	2	420	1	0	29	0	0	0	0	0	2006	109900
92	8500	1	0	1	1	1	1	1961	1961	600	0	635	1235	1	1235	0	0	1235	0	0	1	0	2	1	6	0	2	480	1	0	0	0	0	0	0	0	2006	98600
93	13360	1	1	0	0	1	1	1921	2006	713	0	163	876	1	964	0	0	964	1	0	1	0	2	1	5	0	2	432	1	0	0	44	0	0	0	0	2009	163500
94	7200	1	0	1	1	1	0	1910	1998	1046	0	168	1214	0	1260	1031	0	2291	0	1	2	0	4	2	9	1	2	506	1	0	0	0	0	99	0	0	2007	133900
95	9337	1	0	0	1	1	1	1997	1997	648	0	176	824	1	905	881	0	1786	1	0	2	1	3	1	7	0	2	684	1	0	162	0	0	0	0	0	2007	204750
96	9765	1	0	0	1	1	1	1993	1993	310	0	370	680	1	680	790	0	1470	0	0	2	1	3	1	6	1	2	420	1	232	63	0	0	0	0	480	2009	185000
97	10264	1	0	0	1	1	1	1999	1999	1162	0	426	1588	1	1588	0	0	1588	0	0	2	0	3	1	6	0	2	472	1	158	29	0	0	0	0	0	2006	214000
98	10921	1	0	1	0	1	1	1965	1965	520	0	440	960	1	960	0	0	960	1	0	1	0	3	1	6	0	1	432	0	120	0	0	0	0	0	0	2007	94750
99	10625	1	0	1	1	1	1	1920	1950	108	0	350	458	0	835	0	0	835	0	0	1	0	2	1	5	0	1	366	1	0	0	77	0	0	0	400	2010	83000
100	9320	1	0	0	1	1	1	1959	1959	569	0	381	950	1	1225	0	0	1225	1	0	1	1	3	1	6	0	0	0	1	352	0	0	0	0	0	400	2010	128950
101	10603	1	0	0	1	1	1	1977	2001	1200	0	410	1610	1	1610	0	0	1610	1	0	2	0	3	1	6	2	2	480	1	168	68	0	0	0	0	0	2010	205000
102	9206	1	0	1	1	1	1	1985	1985	0	0	741	741	1	977	755	0	1732	0	0	2	1	3	1	7	1	2	476	1	192	46	0	0	0	0	0	2010	178000
103	7018	1	0	1	0	1	0	1979	1979	0	0	0	0	1	1535	0	0	1535	0	0	2	0	4	2	8	0	2	410	1	0	0	0	0	0	0	0	2009	118964
104	10402	1	0	0	1	1	1	2009	2009	0	0	1226	1226	1	1226	0	0	1226	0	0	2	0	3	1	6	0	3	740	1	0	36	0	0	0	0	0	2010	198900
105	7758	1	0	1	1	1	1	1931	1950	224	0	816	1040	1	1226	592	0	1818	0	0	1	1	4	1	7	2	1	240	1	0	0	0	0	184	0	0	2007	169500
106	9375	1	0	1	1	1	1	2003	2004	0	0	1053	1053	1	1053	939	0	1992	0	0	2	1	3	1	9	1	2	648	1	140	45	0	0	0	0	0	2008	250000
107	10800	1	1	1	1	1	1	1885	1995	0	0	641	641	1	1047	0	0	1047	0	0	1	0	2	1	6	0	1	273	0	0	0	0	0	0	0	450	2007	100000
108	6000	1	0	1	1	1	1	1948	1950	104	169	516	789	1	789	0	0	789	0	0	1	0	2	1	5	0	1	250	1	0	0	0	0	0	0	0	2008	115000
109	8500	1	0	1	1	1	1	1919	2005	0	0	793	793	0	997	520	0	1517	0	0	2	0	3	1	7	0	0	0	0	0	0	144	0	0	0	0	2007	115000
110	11751	1	0	0	1	1	1	1977	1977	705	0	1139	1844	1	1844	0	0	1844	0	0	2	0	3	1	7	1	2	546	1	0	122	0	0	0	0	0	2010	190000
111	9525	1	0	1	1	1	1	1954	1972	444	0	550	994	1	1216	639	0	1855	0	0	2	0	4	1	7	0	1	325	1	182	0	0	0	0	0	0	2006	136900
112	7750	1	0	0	1	1	1	2000	2000	250	0	134	384	1	774	656	0	1430	0	0	2	1	3	1	7	1	2	400	1	180	0	0	0	0	0	0	2010	180000
113	9965	1	0	1	1	1	1	2007	2007	984	0	280	1264	1	1282	1414	0	2696	1	0	2	1	4	1	10	1	3	792	1	120	184	0	0	168	0	0	2007	383970
114	21000	1	0	1	0	1	1	1953	1953	35	869	905	1809	1	2259	0	0	2259	1	0	2	0	3	1	7	2	2	450	1	166	120	192	0	0	0	0	2007	217000
115	7259	1	0	0	1	0	1	1945	2002	774	150	104	1028	1	1436	884	0	2320	1	0	2	1	3	1	9	1	1	180	1	224	0	0	0	0	0	0	2007	259500
116	3230	1	1	1	1	1	0	1999	1999	419	0	310	729	1	729	729	0	1458	0	0	2	1	2	1	5	1	2	440	1	0	32	0	0	0	0	0	2007	176000
117	11616	1	0	1	1	1	1	1962	1962	170	670	252	1092	1	1092	0	0	1092	0	1	1	0	3	1	6	1	1	288	1	0	20	144	0	0	0	0	2009	139000
118	8536	1	0	1	1	1	1	2006	2007	0	0	1125	1125	1	1125	0	0	1125	0	0	1	1	2	1	5	0	2	430	1	80	64	0	0	0	0	0	2007	155000
119	12376	1	0	1	1	1	1	1990	1990	1470	0	203	1673	1	1699	1523	0	3222	1	0	3	0	5	1	11	2	3	594	1	367	0	0	0	0	0	0	2010	320000
120	8461	1	0	1	1	1	1	2005	2006	0	0	728	728	1	728	728	0	1456	0	0	2	1	3	1	8	1	2	390	1	0	24	0	0	0	0	0	2006	163990
121	21453	1	0	0	0	0	1	1969	1969	938	0	0	938	1	988	0	0	988	1	0	1	0	1	1	4	2	2	540	1	0	130	0	130	0	0	0	2006	180000
122	6060	1	0	1	1	1	1	1939	1950	0	0	732	732	1	772	351	0	1123	0	0	1	0	3	1	4	0	1	264	0	0	0	140	0	0	0	0	2007	100000
123	9464	1	0	1	1	1	1	1958	1958	570	0	510	1080	1	1080	0	0	1080	0	0	1	0	3	1	5	0	1	288	1	0	0	0	0	130	0	0	2008	136000
124	7892	1	0	1	1	1	0	1993	1993	300	0	899	1199	1	1199	0	0	1199	0	0	2	0	2	1	5	0	2	530	1	0	63	0	0	0	0	0	2008	153900
125	17043	1	0	0	1	1	1	1979	1998	0	0	1362	1362	1	1586	0	0	1586	0	0	2	0	3	1	7	1	2	435	1	192	0	0	0	0	0	0	2009	181000
126	6780	1	0	1	1	1	0	1935	1982	490	0	30	520	0	520	0	234	754	1	0	1	0	2	1	5	0	0	0	0	53	0	0	0	0	0	0	2006	84500
127	4928	1	0	0	1	1	0	1976	1976	120	0	958	1078	1	958	0	0	958	0	0	2	0	2	1	5	1	2	440	1	0	205	0	0	0	0	0	2007	128000
128	4388	1	0	0	0	1	1	1930	1950	116	0	556	672	1	840	0	0	840	0	0	1	0	3	1	5	1	0	0	0	0	0	0	0	0	0	0	2007	87000
129	7590	1	0	1	1	1	1	1966	1966	512	0	148	660	1	660	688	0	1348	0	0	1	1	3	1	6	1	2	453	1	188	108	0	0	0	0	0	2006	155000
130	8973	1	0	1	1	1	1	1958	1991	567	28	413	1008	1	1053	0	0	1053	0	1	1	1	3	1	6	0	2	750	1	0	80	0	180	0	0	0	2006	150000
131	14200	1	0	1	1	1	1	1966	1966	445	0	479	924	1	1216	941	0	2157	0	0	2	1	4	1	8	2	2	487	1	105	66	0	0	0	0	0	2006	226000
132	12224	1	0	0	1	1	1	2000	2000	695	0	297	992	1	1022	1032	0	2054	1	0	2	1	3	1	7	1	2	390	1	24	48	0	0	0	0	0	2009	244000
133	7388	1	0	1	1	1	1	1959	2002	405	0	658	1063	1	1327	0	0	1327	1	0	1	0	3	1	7	0	2	624	1	0	0	0	0	0	0	0	2007	150750
134	6853	1	0	0	1	1	1	2001	2002	1005	0	262	1267	1	1296	0	0	1296	1	0	2	0	2	1	6	0	2	471	1	192	25	0	0	0	0	0	2009	220000
135	10335	1	0	0	1	1	1	1968	1993	570	0	891	1461	1	1721	0	0	1721	0	0	2	1	3	1	7	1	2	440	1	0	96	180	0	0	0	0	2006	180000
136	10400	1	0	1	1	1	1	1970	1970	0	0	1304	1304	1	1682	0	0	1682	0	0	2	0	3	1	7	1	2	530	1	98	0	0	0	0	0	0	2008	174000
137	10355	1	0	0	1	1	1	1967	1967	695	0	519	1214	1	1214	0	0	1214	0	0	2	0	3	1	5	1	1	318	1	0	111	0	0	0	0	0	2007	143000
138	11070	1	0	1	1	1	0	1988	1989	0	0	1907	1907	1	1959	0	0	1959	0	0	3	0	5	2	9	0	3	766	1	0	0	0	0	0	0	0	2006	171000
139	9066	1	0	0	1	1	1	1999	2000	668	0	336	1004	1	1004	848	0	1852	0	0	2	1	3	1	7	2	3	660	1	224	106	0	0	0	0	0	2008	230000
140	15426	1	0	0	1	1	1	1997	1997	821	0	107	928	1	928	836	0	1764	1	0	2	1	3	1	7	0	2	470	1	276	99	0	0	0	0	0	2009	231500
141	10500	1	0	1	1	1	1	1971	1971	432	0	432	864	1	864	0	0	864	0	0	1	0	3	1	5	1	0	0	1	0	0	0	0	0	0	0	2010	115000
142	11645	1	0	1	1	1	1	2005	2005	1300	0	434	1734	1	1734	0	0	1734	1	0	2	0	3	1	7	0	2	660	1	160	24	0	0	0	0	0	2006	260000
143	8520	1	0	1	1	1	1	1952	1952	507	0	403	910	1	910	475	0	1385	0	0	2	0	4	1	6	0	2	720	1	0	0	0	0	0	0	0	2010	166000
144	10335	1	0	0	1	1	1	1999	1999	679	0	811	1490	1	1501	0	0	1501	1	0	2	0	3	1	6	0	2	577	1	144	29	0	0	0	0	0	2009	204000
145	9100	1	0	1	1	1	0	1963	1963	1332	0	396	1728	1	1728	0	0	1728	1	0	2	0	6	2	10	0	2	504	1	0	0	0	0	0	0	0	2006	125000
146	2522	1	0	1	1	1	0	2004	2006	0	0	970	970	1	970	739	0	1709	0	0	2	0	3	1	7	0	2	380	1	0	40	0	0	0	0	0	2006	130000
147	6120	1	0	1	1	1	1	1931	1993	209	0	506	715	1	875	0	0	875	1	0	1	0	2	1	5	0	1	180	1	48	0	0	0	0	0	0	2009	105000
148	9505	1	0	0	1	1	1	2001	2001	0	0	884	884	1	884	1151	0	2035	0	0	2	1	3	1	8	1	2	434	1	144	48	0	0	0	0	0	2010	222500
149	7500	1	0	1	1	1	1	2004	2005	680	0	400	1080	1	1080	0	0	1080	1	0	1	0	3	1	6	0	0	0	1	0	0	0	0	0	0	0	2008	141000
150	6240	1	0	1	1	1	1	1936	1950	0	0	896	896	1	896	448	0	1344	0	0	1	0	3	1	7	0	1	240	1	200	114	0	0	0	0	0	2006	115000
151	10356	1	0	1	1	1	1	1975	1975	716	0	253	969	1	969	0	0	969	0	0	1	1	3	1	5	0	2	440	1	0	0	0	0	0	0	0	2007	122000
152	13891	1	0	1	1	1	1	2007	2008	1400	0	310	1710	1	1710	0	0	1710	1	0	2	0	2	1	6	1	3	866	1	0	102	0	0	0	0	0	2008	372402
153	14803	1	0	0	1	1	1	1971	1971	416	0	409	825	1	1097	896	0	1993	0	0	2	1	4	1	8	1	2	495	1	0	66	0	0	0	0	0	2006	190000
154	13500	1	0	1	1	1	1	1960	1975	429	1080	93	1602	1	1252	0	0	1252	1	0	1	0	1	1	4	1	2	564	1	409	0	0	0	0	0	0	2008	235000
155	11340	1	0	1	1	1	1	1923	1950	0	0	1200	1200	1	1200	0	0	1200	0	0	1	0	4	1	7	0	1	312	1	0	0	228	0	0	0	0	2006	125000
156	9600	1	0	1	1	1	1	1924	1950	0	0	572	572	0	572	524	0	1096	0	0	1	0	2	1	5	0	0	0	0	0	8	128	0	0	0	0	2008	79000
157	7200	1	0	1	1	1	1	1950	1950	0	0	0	0	1	1040	0	0	1040	0	0	1	0	2	1	5	0	2	625	1	0	0	0	0	0	0	0	2006	109500
